Time,leftPos,leftSpeed,rightPos,rightSpeed
20,0,0,0,0
00008.54,891705.0,2400.0,-900704.0,-2401.0,
00008.56,892201.0,2405.0,-901172.0,-2426.0,
00008.58,892698.0,2404.0,-901642.0,-2437.0,
000008.6,893095.0,2401.0,-902110.0,-2432.0,
00008.62,893586.0,2395.0,-902577.0,-2411.0,
00008.64,894075.0,2388.0,-903050.0,-2381.0,
00008.66,894562.0,2382.0,-903556.0,-2357.0,
00008.68,895052.0,2373.0,-904061.0,-2355.0,
000008.7,895444.0,2365.0,-904524.0,-2375.0,
00008.72,895938.0,2356.0,-904988.0,-2397.0,
00008.74,896416.0,2352.0,-905455.0,-2412.0,
00008.76,896905.0,2348.0,-905922.0,-2412.0,
00008.78,897393.0,2345.0,-906380.0,-2400.0,
000008.8,897883.0,2343.0,-906840.0,-2374.0,
00008.82,898271.0,2341.0,-907329.0,-2345.0,
00008.84,898764.0,2340.0,-907825.0,-2328.0,
00008.86,899258.0,2341.0,-908312.0,-2336.0,
00008.88,899752.0,2344.0,-908774.0,-2357.0,
000008.9,900245.0,2350.0,-909236.0,-2378.0,
00008.92,900741.0,2356.0,-909709.0,-2390.0,
00008.94,901137.0,2361.0,-910171.0,-2390.0,
00008.96,901630.0,2367.0,-910632.0,-2379.0,
00008.98,902124.0,2371.0,-911103.0,-2357.0,
000009.0,902613.0,2373.0,-911600.0,-2337.0,
00009.02,903105.0,2371.0,-912103.0,-2333.0,
00009.04,903502.0,2369.0,-912581.0,-2353.0,
00009.06,903990.0,2366.0,-913056.0,-2379.0,
00009.08,904478.0,2363.0,-913523.0,-2402.0,
000009.1,904967.0,2361.0,-913993.0,-2415.0,
00009.12,905458.0,2358.0,-914456.0,-2414.0,
00009.14,905949.0,2356.0,-914920.0,-2396.0,
00009.16,906338.0,2353.0,-915402.0,-2370.0,
00009.18,906825.0,2351.0,-915910.0,-2350.0,
000009.2,907318.0,2349.0,-916411.0,-2353.0,
00009.22,907803.0,2348.0,-916879.0,-2375.0,
00009.24,908296.0,2347.0,-917343.0,-2400.0,
00009.26,908779.0,2347.0,-917815.0,-2417.0,
00009.28,909173.0,2347.0,-918282.0,-2420.0,
000009.3,909661.0,2347.0,-918740.0,-2408.0,
00009.32,910151.0,2346.0,-919198.0,-2382.0,
00009.34,910639.0,2346.0,-919690.0,-2352.0,
00009.36,911134.0,2346.0,-920197.0,-2336.0,
00009.38,911526.0,2347.0,-920684.0,-2345.0,
