2018.07.13.17.46,L-RPM,R-RPM,L1-AMP,L2-AMP,L3-AMP,L4-AMP,L1-V,L2-V,L3-V,L4-V,R1-AMP,R2-AMP,R3-AMP,R4-AMP,R1-V,R2-V,R3-V,R4-V,Elev_1-AMP,Elev_2-AMP,Elev_1-V,Elev_2-V,Intake_L-AMP,Intake_R-AMP,Climber_1-AMP,Climber_2-AMP,BATTERY
07.13.17.47.01.771,0.072509765625,-0.174560546875,0.125,1.125,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,12.125,11.0,6.920967741935485,7.100733137829913,0.0,0.0,0.0,0.0,12.001931396484375
07.13.17.47.01.896,0.018310546875,-0.06787109375,8.125,3.25,3.75,3.625,7.2559139784946245,6.459775171065493,6.498387096774194,6.470967741935484,0.75,0.75,0.875,0.875,0.4861681329423265,0.5699902248289345,0.5628054740957966,0.5675953079178886,6.75,6.625,7.13069403714565,6.950928641251223,0.0,0.0,0.0,0.0,9.4449658203125
07.13.17.47.02.021,0.160888671875,0.06005859375,44.625,41.0,35.0,40.25,8.75,8.75,8.4,8.5,8.875,8.375,8.5,7.875,-3.4223851417399804,-3.880156402737048,-3.9019550342130986,-3.9455522971652006,5.375,2.5,5.183235581622679,0.0,0.0,0.0,0.0,0.0,9.13084228515625
07.13.17.47.02.146,0.4384765625,0.132568359375,42.625,39.875,33.625,38.5,7.95,8.75,8.4,8.5,14.625,10.25,9.75,9.5,-7.028934506353861,-7.194819159335288,-7.235239491691104,-7.386852394916912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.05025732421875
07.13.17.47.02.271,0.49365234375,0.340087890625,20.0,21.125,18.625,20.375,7.244574780058652,5.923949169110459,5.659824046920821,5.697556207233627,17.75,21.75,19.5,16.0,-5.093841642228739,-5.923949169110459,-5.735288367546432,-5.773020527859238,0.0,0.0,-0.5366568914956013,0.0,0.0,0.0,0.0,0.0,9.903586181640625
07.13.17.47.02.396,0.488037109375,0.454833984375,8.875,9.125,8.125,8.375,5.405278592375367,5.8838709677419345,5.8557184750733136,5.771260997067448,0.625,2.125,2.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.989366455078125
07.13.17.47.02.521,0.552490234375,0.295654296875,9.5,6.625,6.25,6.5,6.784750733137829,6.418768328445747,6.30615835777126,6.362463343108504,7.875,8.0,8.375,8.0,3.7741935483870965,4.412903225806452,4.316129032258065,4.374193548387097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.059560791015624
07.13.17.47.02.646,0.500244140625,-0.187255859375,6.125,3.75,2.75,2.75,6.475073313782991,6.418768328445747,6.30615835777126,6.362463343108504,4.25,6.625,7.0,6.625,1.991935483870968,2.329032258064516,2.277956989247312,2.3188172043010757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.09097314453125
07.13.17.47.02.771,0.439208984375,-0.16748046875,13.0,8.25,8.0,8.25,8.388709677419355,8.27976539589443,8.20713587487781,8.24345063538612,0.5,0.75,0.75,0.75,-1.510019550342131,-1.8691593352883673,-1.8365102639296187,-1.8528347996089933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.882564453125
07.13.17.47.02.896,0.6142578125,0.09619140625,23.375,21.875,18.625,21.5,8.230645161290324,8.37316715542522,8.337536656891496,8.266275659824048,0.0,0.0,0.0,0.125,0.0,-1.4075268817204303,-1.3838709677419354,-1.4016129032258067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.913976806640624
07.13.17.47.03.021,0.529541015625,0.200439453125,12.625,10.125,9.5,10.0,6.503225806451613,6.418768328445747,6.30615835777126,6.221700879765396,0.25,0.75,1.0,1.0,2.108651026392962,1.7612903225806453,1.7231671554252201,1.7536656891495601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.298294677734374
07.13.17.47.03.146,0.43212890625,-0.00830078125,11.625,9.625,9.0,9.625,6.278005865102639,6.362463343108504,6.334310850439882,6.278005865102639,3.25,3.875,4.125,4.0,2.1985337243401757,2.6638318670576733,2.5940371456500486,2.628934506353861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.423944091796875
07.13.17.47.03.271,0.4248046875,-0.13330078125,11.375,9.375,8.75,9.0,6.278005865102639,6.362463343108504,6.334310850439882,6.278005865102639,9.875,10.375,11.125,10.5,3.722727272727272,4.51060606060606,4.392424242424243,4.451515151515151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0281484375
07.13.17.47.03.396,0.4580078125,-0.135009765625,8.5,6.5,6.5,6.375,6.390615835777126,6.13724340175953,6.024633431085043,6.052785923753665,7.625,8.625,9.0,8.5,3.1272727272727274,3.648484848484849,3.581231671554252,3.598044965786901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.568440917968749
07.13.17.47.03.521,0.497314453125,-0.177734375,12.25,10.125,9.125,9.875,6.390615835777126,6.334310850439882,6.249853372434018,6.221700879765396,4.0,3.75,3.875,3.625,3.6242424242424236,4.471212121212122,4.3530303030303035,4.392424242424243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.789414550781249
07.13.17.47.03.646,0.519775390625,-0.20947265625,0.0,0.0,0.0,0.0,-0.7847507331378298,0.0,0.0,0.0,0.625,3.25,3.25,2.875,-2.5796187683284457,-2.3676930596285435,-2.426539589442815,-2.4461876832844576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.26688232421875
