Time, L1-AMPERAGE, L2-AMPERAGE,L3-AMPERAGE,L4-AMPERAGE,R1-AMPERAGE,R2-AMPERAGE,R3-AMPERAGE,R4-AMPERAGE, BATTERY
00003.38,7.125,0.25,2.0,6.125,6.125,1.75,0.375,4.0,11.348554443359374,
000003.4,7.125,0.25,2.0,5.625,6.125,1.375,0.375,4.0,11.2543173828125,
000003.4,7.125,0.25,1.75,5.625,6.0,1.125,0.375,4.25,11.361119384765624,
00003.44,7.0,0.25,2.0,5.625,6.25,1.0,0.375,4.0,11.298294677734374,
00003.46,7.125,0.25,2.0,5.75,6.5,1.25,0.375,4.0,11.279447265625,
00003.48,7.375,0.25,2.25,5.75,6.5,1.375,0.375,4.0,11.373684326171874,
00003.48,7.0,0.25,2.125,5.625,5.75,1.375,0.375,3.75,11.474203857421875,
00003.52,6.5,0.25,1.75,5.25,5.375,1.125,0.375,3.75,11.555875976562499,
00003.52,5.25,0.25,1.375,4.5,4.625,1.125,0.375,3.5,11.612418212890624,
00003.54,4.125,0.0,1.0,3.75,4.125,1.25,0.375,3.25,11.951671630859375,
00003.58,2.5,0.0,0.5,2.5,1.5,0.75,0.375,2.375,12.353749755859374,
000003.6,1.25,0.0,0.125,1.5,0.25,0.125,0.25,1.125,12.6615908203125,
00003.62,0.375,0.0,0.0,0.5,0.0,0.0,0.125,0.0,12.7621103515625,
00003.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.919172119140624,
00003.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.151623535156249,
00003.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.02597412109375,
00003.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.988279296875,
000003.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.79980517578125,
00003.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.617613525390624,
00003.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.441704345703124,
00003.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.334902343749999,
00003.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.2595126953125,
000003.8,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,12.253230224609375,
00003.82,0.0,0.0,0.0,0.0,0.125,0.0,0.125,0.0,12.42285693359375,
00003.84,0.0,0.0,0.0,0.0,0.125,0.0,0.125,0.0,12.416574462890624,
00003.86,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,12.49824658203125,
00003.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.4605517578125,
000003.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.404009521484374,
00003.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.360032226562499,
00003.96,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,12.284642578125,
00003.98,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,12.2343828125,
000004.0,0.0,0.0,0.0,0.0,0.125,0.0,0.125,0.0,12.2595126953125,
00004.02,0.0,0.0,0.0,0.0,0.125,0.0,0.25,0.0,12.24694775390625,
00004.04,0.0,0.0,0.0,0.0,0.125,0.0,0.25,0.25,12.202970458984375,
00004.06,0.0,0.0,0.0,0.0,0.25,0.125,0.25,0.25,12.24694775390625,
00004.08,0.0,0.0,0.0,0.0,0.25,0.125,0.25,0.25,12.290925048828125,
00004.12,0.0,0.0,0.0,0.0,0.125,0.125,0.25,0.0,12.303489990234375,
00004.14,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,12.341184814453124,
00004.16,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,12.32233740234375,
00004.18,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,12.316054931640625,
000004.2,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,12.3097724609375,
